factor,ic_20d,ir_20d,max_corr_existing,corr_with,independent
VMA5,0.0202167774367504,0.2728217614372967,0.407,ivol_20,True
VSUMP5,-0.0206717231083455,-0.2687422992718592,0.492,turnover_surge_ratio,True
VSTD30,0.0223787347635895,0.2997853795839235,-0.481,turnover_surge_ratio,True
STD60,-0.0596360770746901,-0.3303452235057433,0.693,volatility_60,True
VSUMP60,-0.059380837298697,-0.6723531492138917,0.638,relative_volume_20,True
CORD30,-0.0520410952919216,-0.5234047725035884,0.64,price_volume_corr_20,True
RANK5,-0.0463233859509059,-0.3743199851506299,0.632,momentum_5,True
CORR5,-0.0398202255664496,-0.5844467556815908,0.529,price_volume_corr_20,True
VSUMN20,0.0422018146003183,0.5392598456390497,-0.819,turnover_surge_ratio,False
VWAP0,0.0282239751290454,0.2479354094562324,-0.86,vwap_bias_1d,False
CNTP10,-0.0331040175720564,-0.3174586289766238,0.797,up_days_ratio_20,False
MAX5,-0.0367317463784881,-0.2676568575807552,0.878,atr_norm_20,False
VMA20,0.0368931723461372,0.5175126542414523,-0.772,turnover_surge_ratio,False
QTLD60,0.0928402954055333,0.6373238497930562,-0.749,gain_loss_ratio_20,False
VSUMP30,-0.0434002276360192,-0.4442058728335208,0.812,relative_volume_20,False
CNTP30,-0.0452886590941471,-0.3867999510948669,0.836,up_days_ratio_20,False
KLEN,-0.0882733162692902,-0.5505099397228116,0.9,atr_norm_20,False
CORR20,-0.0472187446529221,-0.4810776601855741,0.912,price_volume_corr_20,False
VMA60,0.0575822879698521,0.6373284598343154,-0.892,relative_volume_20,False
CORR10,-0.0590343517159418,-0.6935342062589984,0.718,price_volume_corr_20,False
QTLD10,0.063774866323937,0.5479900309076553,-0.713,gain_loss_ratio_20,False
KLOW,-0.0645065487504683,-0.8126049924857599,0.841,atr_norm_20,False
QTLU30,0.0462362219510021,0.3480631213481508,0.805,reversal_20,False
